game_id,tracking_filename,game_date,away,home,season
0021500438,12.25.2015.CLE.at.GSW.7z,2015-12-25,CLE,GSW,2015-16
0021500622,01.18.2016.GSW.at.CLE.7z,2016-01-18,GSW,CLE,2015-16
